Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
"C1","22pF","0805",145.415000,-95.455500,90.000000,bottom
"C2","22pF","0805",138.176000,-95.455500,270.000000,bottom
"C3","1uF","0805",133.301500,-113.665000,0.000000,bottom
"C4","0.1uF","0805",143.510000,-119.458500,270.000000,bottom
"C5","0.1uF","0805",140.716000,-118.569500,270.000000,bottom
"C6","0.1uF","0805",133.301500,-110.871000,180.000000,bottom
"C7","10uF","0805",151.686500,-98.171000,0.000000,bottom
"D1","D_Small","SOD-123",32.131000,-80.645000,90.000000,bottom
"D2","D_Small","SOD-123",51.181000,-80.518000,90.000000,bottom
"D3","D_Small","SOD-123",70.612000,-82.169000,82.000000,bottom
"D4","D_Small","SOD-123",89.408000,-85.471000,82.000000,bottom
"D5","D_Small","SOD-123",108.077000,-87.884000,82.000000,bottom
"D6","D_Small","SOD-123",127.127000,-90.551000,82.000000,bottom
"D7","D_Small","SOD-123",166.751000,-88.138000,98.000000,bottom
"D8","D_Small","SOD-123",185.420000,-85.725000,98.000000,bottom
"D9","D_Small","SOD-123",204.470000,-83.185000,98.000000,bottom
"D10","D_Small","SOD-123",223.266000,-80.391000,98.000000,bottom
"D11","D_Small","SOD-123",242.824000,-79.756000,90.000000,bottom
"D12","D_Small","SOD-123",261.874000,-80.137000,90.000000,bottom
"D13","D_Small","SOD-123",280.162000,-80.137000,90.000000,bottom
"D14","D_Small","SOD-123",32.131000,-98.679000,90.000000,bottom
"D15","D_Small","SOD-123",53.340000,-98.298000,90.000000,bottom
"D16","D_Small","SOD-123",72.390000,-100.330000,82.000000,bottom
"D17","D_Small","SOD-123",91.567000,-103.124000,82.000000,bottom
"D18","D_Small","SOD-123",110.363000,-105.791000,82.000000,bottom
"D19","D_Small","SOD-123",128.167364,-109.837942,82.000000,bottom
"D20","D_Small","SOD-123",173.990000,-106.553000,98.000000,bottom
"D21","D_Small","SOD-123",192.913000,-103.632000,98.000000,bottom
"D22","D_Small","SOD-123",211.963000,-100.965000,98.000000,bottom
"D23","D_Small","SOD-123",230.886000,-98.679000,98.000000,bottom
"D24","D_Small","SOD-123",250.444000,-98.933000,90.000000,bottom
"D25","D_Small","SOD-123",276.606000,-99.060000,90.000000,bottom
"D26","D_Small","SOD-123",34.163000,-117.729000,90.000000,bottom
"D27","D_Small","SOD-123",59.944000,-117.475000,90.000000,bottom
"D28","D_Small","SOD-123",79.375000,-120.396000,82.000000,bottom
"D29","D_Small","SOD-123",98.171000,-122.555000,82.000000,bottom
"D30","D_Small","SOD-123",117.094000,-125.349000,82.000000,bottom
"D31","D_Small","SOD-123",135.890000,-127.889000,82.000000,bottom
"D32","D_Small","SOD-123",167.005000,-125.603000,98.000000,bottom
"D33","D_Small","SOD-123",185.801000,-122.936000,98.000000,bottom
"D34","D_Small","SOD-123",204.851000,-120.777000,98.000000,bottom
"D35","D_Small","SOD-123",223.774000,-118.237000,98.000000,bottom
"D36","D_Small","SOD-123",243.332000,-118.364000,90.000000,bottom
"D37","D_Small","SOD-123",262.382000,-118.364000,90.000000,bottom
"D38","D_Small","SOD-123",282.448000,-119.506000,90.000000,bottom
"D39","D_Small","SOD-123",30.988000,-137.922000,90.000000,bottom
"D40","D_Small","SOD-123",54.864000,-138.430000,90.000000,bottom
"D41","D_Small","SOD-123",93.472000,-141.732000,82.000000,bottom
"D42","D_Small","SOD-123",124.206000,-145.542000,82.000000,bottom
"D43","D_Small","SOD-123",181.737000,-142.494000,98.000000,bottom
"D44","D_Small","SOD-123",214.859636,-138.666942,98.000000,bottom
"D45","D_Small","SOD-123",258.064000,-137.160000,90.000000,bottom
"D46","D_Small","SOD-123",281.813000,-137.160000,90.000000,bottom
"D47","PRTR5V0U2X","SOT-143",133.797000,-81.131000,270.000000,bottom
"F1","Polyfuse_Small","1206",130.048000,-83.182000,90.000000,bottom
"R1","10k","0805",148.717000,-97.487500,90.000000,bottom
"R4","10k","0805",146.177000,-119.458500,90.000000,bottom
"R5","5.1k","0805",130.888500,-74.295000,0.000000,bottom
"R6","22","0805",138.684000,-81.582500,90.000000,bottom
"R7","22","0805",140.716000,-81.612500,90.000000,bottom
"R8","5.1k","0805",145.669000,-78.564500,90.000000,bottom
"SW1","SW_Push","SMD-SW-4_5.1x5.1x1.5",143.129000,-140.716000,0.000000,bottom
"U1","ATmega32U4-AU","QFP-44_10.0x10.0x0.8P",144.272000,-106.680000,45.000000,bottom
"Y1","16MHz","SMD-3225_4P",141.806750,-95.479500,180.000000,bottom
